CO_CURSO|NO_CURSO
1|DIREITO
2|CIÊNCIAS ECONÔMICAS
3|ENGENHARIA CIVIL
6|PEDAGOGIA
7|SERVIÇO SOCIAL
8|CIÊNCIAS CONTÁBEIS
9|AGRONOMIA
10|ENGENHARIA FLORESTAL
12|MEDICINA
13|ADMINISTRAÇÃO
15|GEOLOGIA
16|ENGENHARIA ELÉTRICA
17|ENFERMAGEM
19|EDUCAÇÃO FÍSICA
20|NUTRIÇÃO
21|CIÊNCIAS CONTÁBEIS
23|PEDAGOGIA
24|GEOGRAFIA
25|HISTÓRIA
26|MATEMÁTICA
27|FÍSICA
29|CIÊNCIAS BIOLÓGICAS
32|CIÊNCIAS BIOLÓGICAS
34|MATEMÁTICA
36|CIÊNCIA DA COMPUTAÇÃO
37|MEDICINA VETERINÁRIA
44|ARQUITETURA E URBANISMO
18354|MATEMÁTICA
21442|FARMÁCIA
22118|LETRAS PORTUGUÊS E INGLÊS
22837|LETRAS - LÍNGUA PORTUGUESA
25902|LETRAS PORTUGUÊS E FRANCÊS
25903|LETRAS - PORTUGUÊS E LITERATURAS
25949|LETRAS - LÍNGUA PORTUGUESA
26025|LETRAS PORTUGUÊS E ESPANHOL E RESPECTIVAS LITERATURAS
31373|COMUNICAÇÃO SOCIAL  - RADIALISMO
41673|BIBLIOTECONOMIA
41687|INFORMÁTICA
41690|CIÊNCIAS BIOLÓGICAS
62906|ZOOTECNIA
62936|JORNALISMO
62940|COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
84854|PSICOLOGIA
94331|MÚSICA
100763|MEDICINA VETERINÁRIA
100768|ENGENHARIA FLORESTAL
100770|ENFERMAGEM
100772|ZOOTECNIA
100775|CIÊNCIAS NATURAIS E MATEMÁTICA - MATEMÁTICA
100776|CIÊNCIAS NATURAIS E MATEMÁTICA - QUÍMICA
100777|CIÊNCIAS NATURAIS E MATEMÁTICA - FÍSICA
100778|AGRONOMIA
100800|ENGENHARIA AGRÍCOLA E AMBIENTAL
100802|ENGENHARIA MECÂNICA
100804|ENFERMAGEM
100920|ENGENHARIA DE ALIMENTOS
100928|ENFERMAGEM
101054|LETRAS - LÍNGUA E LITERATURAS DE LÍNGUA INGLESA
101184|FÍSICA
105652|PEDAGOGIA
106050|QUÍMICA
106052|EDUCAÇÃO FÍSICA
112770|ENGENHARIA SANITARIA E AMBIENTAL
112846|CIÊNCIA DA COMPUTAÇÃO
114386|CIÊNCIAS NATURAIS E MATEMÁTICA
116550|CIÊNCIA E TECNOLOGIA DE ALIMENTOS
116560|GEOGRAFIA
116648|BIOMEDICINA
116662|AGRONOMIA
116690|GEOGRAFIA
116708|JORNALISMO
116720|FARMÁCIA
116736|ENGENHARIA AGRÍCOLA E AMBIENTAL
117004|PSICOLOGIA
118002|SISTEMAS DE INFORMAÇÃO
123007|ESTATÍSTICA
123011|SAÚDE COLETIVA
123013|FÍSICA
123052|CIÊNCIAS ECONÔMICAS
123055|ENGENHARIA CIVIL
123427|DIREITO
123620|ZOOTECNIA
1103426|GEOGRAFIA
1103701|CIÊNCIAS SOCIAIS
1103708|FILOSOFIA
1103709|FILOSOFIA
1103710|HISTÓRIA
1103711|QUÍMICA
1103712|QUÍMICA
1103742|CIÊNCIAS SOCIAIS
1113617|ADMINISTRAÇÃO PÚBLICA
1127343|ADMINISTRAÇÃO
1128077|SISTEMAS DE INFORMAÇÃO
1168551|EDUCAÇÃO FÍSICA
1188880|CIÊNCIAS BIOLÓGICAS
1202779|MÚSICA - CANTO
1202829|MÚSICA - CLARINETE
1202855|MÚSICA - COMPOSIÇÃO
1202871|LETRAS - PORTUGUÊS E INGLÊS
1203359|MÚSICA - VIOLINO
1203399|MÚSICA - VIOLÃO
1204146|MÚSICA - REGÊNCIA
1205603|LETRAS - LIBRAS
1261971|MEDICINA
1261972|MEDICINA
1270010|ENGENHARIA QUÍMICA
1270017|ENGENHARIA DE TRANSPORTES
1270037|ENGENHARIA DE MINAS
1270057|ENGENHARIA DE CONTROLE E AUTOMAÇÃO
1270062|ENGENHARIA DE COMPUTAÇÃO
1285517|CIÊNCIAS BIOLÓGICAS
1357965|MATEMÁTICA
1420159|CINEMA E AUDIOVISUAL
1425400|TECNOLOGIA EDUCACIONAL
116|GEOLOGIA
119|ESTATÍSTICA
122|CIÊNCIAS ECONÔMICAS
126|SERVIÇO SOCIAL
127|CIÊNCIA DA COMPUTAÇÃO
128|RELAÇÕES INTERNACIONAIS
132|ARQUITETURA E URBANISMO
133|MÚSICA
135|AGRONOMIA
136|ENGENHARIA CIVIL
137|ENGENHARIA ELÉTRICA
138|ENGENHARIA MECÂNICA
139|ENGENHARIA FLORESTAL
140|MEDICINA
141|ODONTOLOGIA
142|EDUCAÇÃO FÍSICA
143|ENFERMAGEM
144|NUTRIÇÃO
145|ADMINISTRAÇÃO
146|BIBLIOTECONOMIA
148|DIREITO
149|CIÊNCIAS CONTÁBEIS
150|PEDAGOGIA
151|ARTES PLÁSTICAS
156|CIÊNCIA POLÍTICA
157|ARQUIVOLOGIA
158|FÍSICA
159|QUÍMICA
160|CIÊNCIAS BIOLÓGICAS
161|MATEMÁTICA
162|LETRAS - PORTUGUÊS
163|PEDAGOGIA
164|EDUCAÇÃO ARTÍSTICA
165|DIREITO
166|LETRAS - ESPANHOL
167|CIÊNCIAS CONTÁBEIS
18030|CIÊNCIAS FARMACÊUTICAS
18031|MEDICINA VETERINÁRIA
18032|COMPUTAÇÃO
18033|ENGENHARIA DE REDES DE COMUNICAÇÃO
20551|LETRAS - JAPONÊS
22122|MATEMÁTICA
22844|PSICOLOGIA
22851|ARTES CÊNICAS
26030|FÍSICA
26033|PSICOLOGIA
26035|MÚSICA
26039|LETRAS - FRANCÊS
26040|MÚSICA - COMPOSIÇÃO
26978|DESENHO INDUSTRIAL - PROJETO DO PRODUTO
27858|FILOSOFIA
29692|CIÊNCIAS SOCIAIS
29693|LETRAS - INGLÊS
29694|LETRAS - INGLÊS
31376|LETRAS - LÍNGUA PORTUGUESA
31378|LETRAS - FRANCÊS
31381|COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
31384|LETRAS - TRADUÇÃO INGLÊS
33204|CIÊNCIAS SOCIAIS
33205|HISTÓRIA
33206|LETRAS - TRADUÇÃO FRANCÊS
33209|MÚSICA - REGÊNCIA
34642|JORNALISMO
