CO_IES|SG_IES|CO_UF
1|UFMT|51
2|UNB|53
3|UFS|28
4|UFAM|13
6|UFOP|31
10|PUCPR|41
11|UNICAP|26
13|UCS|43
14|UNISINOS|43
18|UCPEL|43
19|PUC-CAMPINAS|35
20|UPF|43
21|PUCRS|43
19229|FPMB|53
353|FEMPAR|41
22|MACKENZIE|35
195||33
23|FEEVALE|43
24|UESC|29
26|ENCE|33
27|UNINCOR|31
29|UECE|23
30|UNIFENAS|31
32|UNCISAL|27
18817|FATEC-SR|35
4024|FATEC|35
18049|FATEC TAUBATÉ|35
19501|FATEC SEBRAE|35
19864|FATEC Itapira|35
24672||35
23438||35
967|FATEC/TQ|35
15581|FATECSJCAMPOS|35
15695|Fatec Itu|35
37|FATEC-JAHU|35
15585|FATEC-SA|35
19578|FATEC COTIA|35
15714|FATECMM|35
4023|FATEC MAUÁ|35
5627|FATEC|35
15715|FATEC LINS|35
15682|Fatec Piracicaba|35
15746|FATECIPI|35
15696|FATEC SERTÃOZINHO|35
33|FATEC SO|35
15709|Fatec Osasco|35
15753|FATEC JBL|35
23459||35
15803|FATEC TATUÍ|35
15757|Fatec Barueri|35
4025|FATECRP|35
15639|Fatec Itaqua|35
4021|FATECGA|35
17942|FATEC-TT|35
19739|FATEC CAMPINAS|35
15687|FATEC PI|35
15784|Fatec Marilia|35
15693|Fatec - Itapetininga|35
23705||35
19500|FATEC São Carlo|35
16410|FATEC Catanduva|35
15576|FATEC-MC|35
36|FATEC-BS|35
19862|FATEC Bebedouro|35
15769|Fatec Jales|35
17952|FATEC Jacareí|35
15745|FATEC SCS|35
15708|FATEC Franca|35
15704|FATEC-CB|35
15793|Fatec SS|35
16395|FATEC|35
18099|FATEC DIADEMA|35
15697|FATEC Araçatuba|35
35|FATEC-AM|35
15689|FATEC|35
4022|FATEC/JD|35
15680||35
15752|FATEC GR|35
4020|FATEC BT|35
23700||35
1583|FATEC-ID|35
17953|FATEC Pompeia|35
19863|FATEC Assis|35
4926|FATECPG|35
22939|FATEC ARQ|35
1584|FATEC GT|35
5633||35
4026|FATEC-ZL|35
17977|FATEC ITAQUERA|35
23867|Fatec de Sumaré|35
22319|Fatec Itatiba|35
5099|FATEC-SB|35
34|FATEC-SP|35
15688|FATEC ZONASUL|35
21713||35
20478|FATEC-SPB|35
1874|FATEC|35
38|UEPA|15
40|UNEB|29
9|UEL|41
730|UEPG|41
18492|UNESPAR|41
609|UNIOESTE|41
1126|UNICENTRO|41
57|UEM|41
